Gene	mTNBC1	mTNBC2	mTNBC3	mTNBC4	mTNBC5	mTNBC6	mTNBC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7
MMD	5.03285539452223	8.43877183533821	11.5714705556591	0	2.47672642087966	1.43701276656607	7.4936831588908	0.286055697937995	1.96602766436697	0	1.5306992220381	0	0	0.199365193810865
MMGT1	22.2037737993628	26.6145880960667	32.4891288678122	58.250921794221	50.7728916280331	28.4528527780083	37.2100129269061	38.3314635236914	27.7701407591835	26.1104535579759	14.869649585513	19.9273152970428	45.04585693386	41.6673255064708
MMS19	0.296050317324837	1.5146513550607	6.00826355774609	8.81780008811603	3.21974434714356	1.72441531987929	3.10083441057551	10.2980051257678	3.68630187068807	3.84785631380698	6.34146820558641	1.24545720606518	2.59523455586025	8.17397294624546
MOAP1	78.7493844084067	45.6559194168298	48.9562215816348	79.3602007930443	51.268236912209	32.1890859710801	59.4326595360305	96.1147145071665	44.4813759063027	46.4491226452414	55.1051719933716	43.1758498102594	85.4573664465409	76.9549648109939
MOB3C	31.9734342710824	79.194627993174	48.2886367418852	20.3076608089945	61.9181605219915	57.480510662643	98.7098954033202	31.7521824711175	23.5923319724037	58.8172322253352	18.3683906644572	27.6076347344447	20.3911286531876	27.9111271335211
MOCS2	10.953861741019	5.62584789022547	10.9038857159096	12.5586849739834	3.46741698923153	6.32285617289073	13.4369491124939	3.71872407319394	3.4405484126422	17.590200291689	14.4323069506449	2.49091441213035	6.85883418334493	4.58539945764989
MORN3	10.0657107890445	7.35687801029485	2.22528279916522	1.8704424429337	8.66854247307882	7.18506383283037	3.10083441057551	11.1561722195818	6.63534336723853	0.549693759115283	7.21615347532247	3.52879541718467	4.26359962748469	4.98412984527162
MOSPD3	44.7035979160504	27.69648192111	46.7309387824696	37.9432609852266	13.3743226727502	24.7166195849365	56.590227993003	18.5936203659697	17.9400024373486	6.32147822982575	33.4567115674042	13.2848768646952	19.0935113752575	29.7054138778189
MOV10	16.2827674528661	10.8189382504336	20.6951300322365	11.7570667841547	4.95345284175932	22.9922042650572	44.1868903507009	7.72350384432588	26.0498665528624	20.8883628463807	67.7881084045444	5.60455742729329	3.70747793694321	13.7561983729497
MPC1	132.926592478852	102.996292144128	94.7970472444383	84.4371159952929	108.728289876617	73.0002485415566	53.7477964499754	66.078866223677	90.4372725608807	178.375624832909	91.1859393699839	219.408044468482	124.571258681292	106.660378688813
MPC2	209.89967498331	163.149588816539	81.445350449447	139.481565030199	140.925733348053	145.7130945298	86.3065577610182	102.980051257678	173.747694838431	136.873746019705	128.141392016332	169.589756225875	162.202159741265	138.35944450474
MPDU1	1.18420126929935	9.3042868953729	5.11815043808	3.20647275931492	1.98138113670373	1.72441531987929	11.1113233045622	7.15139244844989	0.491506916091743	0.824540638672924	0.218671317434014	0	4.26359962748469	5.38286023289335
MPHOSPH8	307.892330017831	243.426110634756	261.248200621997	222.582650709111	184.020773071359	181.925816247265	120.415736277349	193.945763201961	372.562242397541	281.168357787467	432.750537201914	500.051068235168	295.856739368068	235.450293890631
MPP5	2.66445285592354	2.81292394511274	2.44781107908174	6.41294551862984	7.67785190472695	1.43701276656607	5.68486308605509	13.4446178030858	5.65232953505504	2.19877503646113	2.62405580920817	4.35910022122812	5.74659080226197	7.9746077524346
MPP7	84.0782901202538	59.5041603773848	87.2310857272766	145.627304485553	42.5996944391302	73.0002485415566	137.728728403062	85.2445979855226	72.497270123532	51.6712133568366	38.0488092335185	53.9698122628243	49.1240826644975	24.5219188387364
MPPE1	213.156228473883	275.233789091031	140.860401187158	180.63129877474	395.78088205657	159.221014535521	298.196909150344	404.482756884326	118.944673694202	145.943693045108	142.355027649543	226.673211503862	306.237677591509	316.791292965464
MPRIP	10.0657107890445	7.14049924528618	8.45607463682783	0.534412126552487	1.4860358525278	7.7598689394568	14.2121577151377	5.72111395875991	4.42356224482568	8.52025326628688	3.93608371381226	8.92577664346709	8.8979470486637	6.77841658956941
MPST	4.7368050771974	9.73704442539024	17.8022623933217	25.1173699479669	26.9963179875883	18.3937634120458	41.6028616752214	17.1633418762797	15.9739747729816	11.2687220618633	2.18671317434014	4.9818288242607	19.649633065799	9.17079891529979
MR1	255.491423851335	193.226237152744	183.363302651214	101.805510108249	125.570029538599	221.012563497862	90.4410036417856	145.888405948378	228.796469440706	218.778116127882	87.9058696084737	124.960873008539	111.409712005143	149.523895358149
MRE11	31.6773839537576	21.8542552658759	26.7033935899826	29.9270790869393	24.0242462825327	37.0749293774047	29.4579269004673	28.6055697937995	27.7701407591835	28.8589223535523	63.8520246907322	37.1561399809444	28.1768323207684	33.892082947847
MRNIP	6.80915729847126	0.865515060034688	0.890113119666087	2.93926669603868	2.72439906296763	2.58662297981893	3.10083441057551	5.43505826082191	6.38958990919266	1.92392815690349	11.8082511414368	4.15152402021725	7.41495587388641	6.77841658956941
MRPL14	1.48025158662419	4.32757530017344	1.78022623933217	3.20647275931492	3.21974434714356	1.72441531987929	3.35923727812346	0	16.7112351471193	2.74846879557641	2.84272712664218	3.73637161819553	11.8639293982183	4.18666907002816
MRPL2	12.4341133276432	11.0353170154423	5.56320699791304	8.28338796156354	9.16388775725475	6.89766127951716	6.20166882115101	6.5792810525739	6.8810968252844	1.37423439778821	17.4937053947211	4.77425262324984	11.3078077076768	14.753024342004
MRPL22	51.5127552145217	63.8317356775583	85.8959160477774	33.9351700360829	53.7449633330887	41.3859676771029	42.3780702778652	24.3147343247296	65.1246663821559	93.1730921700404	55.5425146282396	129.527549430778	68.5883418334493	39.873038762173
MRPL24	7.1052076157961	1.5146513550607	2.0027545192487	0	0.743017926263899	1.14961021325286	2.84243154302755	2.86055697937995	0	3.02331567513405	2.62405580920817	2.49091441213035	2.40986065901309	2.39238232573038
MRPL27	24.8682266552863	18.6085737907458	20.027545192487	11.4898607208785	14.61268588319	13.2205174524079	11.1113233045622	15.4470076886518	41.7780878677981	34.3558599447052	20.5551038387973	46.912221428455	28.7329540113099	17.5441370553561
MRPL32	32.5655349057321	30.7257846312314	32.4891288678122	19.5060426191658	25.2626094929726	15.2323353256004	11.8865319072061	13.1585621051478	56.2775418925045	36.004941222051	31.9260123453661	144.057883501539	40.5968834095281	28.9079531025754
MRPL36	10.953861741019	10.3861807204163	10.681357435993	10.1538304044972	9.16388775725475	7.47246638614359	5.16805735095918	10.2980051257678	14.4994540247064	3.57300943424934	14.4323069506449	21.3803487041189	19.649633065799	28.7085879087645
MRPL40	7.40125793312093	9.08790813036423	8.90113119666087	2.13764850620995	6.43948869428712	4.31103829969822	2.58402867547959	3.43266837525595	8.6013710316055	3.02331567513405	7.21615347532247	16.8136722818799	9.8248165328995	8.37333814005633
MRPL42	48.5522520412733	41.3283441166564	85.6733877678609	26.1861942010718	68.8529945004546	41.0985651237897	35.9179985891663	41.1920205030713	90.9287794769724	133.300736585456	51.8251022318614	221.48380647859	94.9114351857461	78.7492515552916
MRPL52	4.7368050771974	4.32757530017344	2.44781107908174	1.8704424429337	10.1545783256066	9.48428425933609	3.35923727812346	1.71633418762797	7.12685028333027	3.02331567513405	5.46678293585036	11.4166910555974	6.67346028649777	10.1676248843541
MRPL57	10.6578114236941	10.6025594854249	4.22803731841391	4.80970913897238	12.1359594623103	5.46064851295108	5.94326595360305	4.00477977113194	29.2446615074587	8.79510014584452	29.0832852187239	23.4561107142275	12.7907988824541	13.7561983729497
MRPS10	37.8944406175792	50.6326310120293	54.5194285795478	44.3562065038564	44.5810755758339	39.6615523572236	30.7499412382071	30.0358482834895	45.4643897384862	43.9755007292226	20.7737751562314	74.104703760878	47.8264653865674	30.7022398468732
MRPS16	27.236629193885	33.9714661063615	21.8077714318191	21.6436911253757	16.5940670198937	27.3032425647554	20.4138265362887	17.1633418762797	36.6172652488348	36.8294818607239	33.4567115674042	34.4576493678032	35.9625359883491	29.9047790716297
MRPS18A	11.8420126929935	16.0120286106417	18.4698472330713	14.1619213536409	14.1173405990141	20.4055812852383	13.1785462449459	10.0119494278298	39.8120602034312	18.6895878099196	12.6829364111728	12.03941965863	13.1615466761484	15.5504851172475
MRPS18B	12.1380630103183	3.8948177701561	6.00826355774609	0.80161818982873	5.69647076802322	2.58662297981893	10.8529204370143	8.58167093813986	17.4484955212569	17.0405065325738	12.0269224588708	8.92577664346709	24.8401021775195	15.9492155048692
MRPS23	4.7368050771974	6.49136295026016	5.11815043808	8.55059402483979	6.43948869428712	5.46064851295108	3.87604301321938	7.72350384432588	6.38958990919266	11.2687220618633	0	0	4.63434742117901	6.77841658956941
MRPS30	12.730163644968	5.84222665523415	0	18.1700123027845	4.45810755758339	2.58662297981893	6.71847455624693	3.43266837525595	16.7112351471193	9.61964078451745	6.77881084045444	0.207576201010863	10.0101904297467	10.366990078165
MRPS31	69.8678748886616	35.4861174614222	70.0964081737044	62.7934248699172	32.6927887556115	35.3505140575254	44.1868903507009	34.6127394504975	35.6342514166513	106.640589268365	34.7687394720083	39.231901991053	45.04585693386	29.1073182963863
MRPS33	6.21705666382158	1.5146513550607	3.33792419874783	2.13764850620995	3.71508963131949	0.862207659939645	1.03361147019184	0	1.96602766436697	0	5.24811161841634	0	4.44897352433185	2.19301713191951
MRPS36	97.1045040825466	62.3170843224976	45.8408256628035	57.1820975411161	52.7542727647368	41.0985651237897	32.0419555759469	51.4900256288392	52.3454865637706	51.6712133568366	72.1615347532247	87.1820044245623	60.06114257848	73.5657565162091
MRPS7	4.14470444254772	10.6025594854249	2.22528279916522	2.67206063276243	8.66854247307882	4.88584340632465	3.10083441057551	4.86294686494592	10.0758917798807	1.37423439778821	10.9335658717007	9.13335284447796	12.0493032950654	12.5600072100845
MRS2	0	2.59654518010406	7.34343323724522	3.20647275931492	8.66854247307882	2.0118178731925	4.65125161586326	3.71872407319394	7.61835719942201	3.2981625546917	16.4003488075511	13.9076054677278	8.34182535812222	5.98095581432595
MSH3	0	14.9301347855984	32.7116571477287	8.55059402483979	18.8231207986854	16.3819455388532	10.0777118343704	2.57450128144196	5.40657607700917	18.414740930362	5.24811161841634	19.0970104929994	17.4251463036331	12.7593724038954
MSL1	1040.91291571413	1070.85850802792	1223.0154264212	972.897276388802	867.844937876234	1143.8621621866	688.64364201531	882.481828138716	1170.03221375639	1076.85007410684	1280.53923489359	1147.27366298704	982.48165328995	1072.98347309007
MSRB2	18.3551196741399	15.5792710806244	33.8242985473113	17.1011880496796	6.68716133637509	14.3701276656607	20.1554236687408	13.7306735010238	40.5493205775688	23.9116785215148	77.409646371641	70.3683321426824	15.01528564462	18.3415978305996
MSRB3	34.3418368096811	26.6145880960667	32.4891288678122	47.0282671366188	11.8882868202224	28.1654502246951	70.5439828405927	17.4493975742177	21.3805508499908	20.8883628463807	46.139647978577	13.4924530657061	18.537389684716	23.7244580634929
MSS51	0.888150951974512	0.649136295026016	0	10.6882425310497	0	2.0118178731925	1.55041720528775	1.43027848968998	8.10986411551375	5.49693759115283	0	0.207576201010863	2.03911286531876	3.9873038762173
MTERF2	14.8025158662419	38.0826626415263	18.2473189531548	46.4938550100663	26.5009727034124	17.8189583054193	10.0777118343704	50.0597471391492	17.6942489793027	15.1165783756703	22.7418170131375	50.6485930466505	28.5475801144627	21.3320757377625
MTF2	95.9203028132473	130.909152830247	107.258630919764	165.133347104718	79.7505907523251	104.901931959323	141.087965681185	67.7952004113049	100.02165742467	310.302127020577	81.5644014028873	153.191236346017	88.4233487960955	86.9232245015371
MTFMT	125.525334545731	88.9316724185642	85.8959160477774	150.437013624525	141.173405990141	88.232583867157	107.495592899951	140.739403385494	73.4802839557155	73.3841168418902	69.3188076265825	94.0320190579208	106.40461679027	114.435621247436
MTIF3	125.821384863056	129.610880240195	142.195570866657	74.0160795275194	78.2645548997973	91.6814145069155	87.0817663636621	66.364921921615	96.3353555539816	133.300736585456	76.097618467037	104.825981510486	96.5798002573706	96.4927538044586
MTM1	169.340781509807	177.214208542102	133.962024509746	224.987505278597	160.244199430914	154.047768575883	186.308467502078	160.763302241153	125.088510145349	255.607597988606	54.4491580410695	178.930685271364	162.758281431807	144.938495900499
MTMR11	4.14470444254772	2.16378765008672	0.222528279916522	0.534412126552487	0.743017926263899	2.58662297981893	2.06722294038367	4.57689116700793	11.0589056120642	1.37423439778821	0	0	3.52210404009605	0.996825969054325
MTMR12	11.5459623756687	27.69648192111	7.1209049573287	17.6356001762321	26.9963179875883	23.8544119249968	9.04410036417856	13.4446178030858	9.83013832183486	9.06994702540216	28.8646139012899	29.0606681415208	20.9472503437291	12.9587375977062
MTMR3	46.1838495026746	57.9895090223241	89.9014250862748	43.8217943773039	53.2496180489127	53.7442774695712	54.7814079201673	48.3434129515212	69.7939820850275	52.2209071159518	54.0118154062015	78.8789563841278	27.4353367333797	44.259073026012
MTMR6	166.084228019234	230.227005969227	345.363890430442	288.04813621179	268.477144023355	180.488803480699	425.589522851488	212.539383567931	86.7509706901926	291.612539210657	110.647686621611	166.06096080869	169.617115615152	182.219787143131
MTO1	12.4341133276432	12.3335896054943	8.90113119666087	15.7651577332984	12.8789773885742	2.87402553313215	12.9201433773979	7.15139244844989	1.96602766436697	14.0171908574397	3.28006976151021	0.207576201010863	9.26869484235802	9.76889449673238
MTPAP	1.48025158662419	15.5792710806244	13.5742250749078	7.74897583501106	15.1080311673659	4.02363574638501	13.4369491124939	12.0143393133958	6.14383645114678	0.824540638672924	6.56013952302043	22.2106535081623	18.7227635815632	13.1581027915171
MTPN	243.649411158341	257.057972830302	342.471022791527	253.044141922602	285.071211043249	447.198372955362	297.938506282796	258.022239540072	221.178112241284	247.362191601877	338.065856752986	291.22941001824	216.887459311178	245.617918774986
MTRF1	16.8748680875157	9.73704442539024	18.9149037929044	18.4372183660608	29.9683896926439	13.7953225590343	22.2226466091245	22.3123444391636	36.371511790789	20.8883628463807	24.7098588700436	20.5500439000754	15.9421551288558	19.7371541872756
MTRNR2L10	4.44075475987256	4.32757530017344	3.33792419874783	2.13764850620995	2.2290537787917	2.58662297981893	0.775208602643876	0.286055697937995	5.89808299310091	3.57300943424934	6.56013952302043	9.54850524649968	1.48299117477728	3.18984310097384
MXD3	97.1045040825466	72.9196438079225	82.5579918490296	64.9310733761271	67.1192860058388	104.901931959323	134.369491124939	119.571281738082	49.3964450672201	57.9926915866623	63.4146820558641	46.912221428455	51.7193172203577	61.4044796937464
MXI1	41.4470444254772	43.0593742367257	26.2583370301496	73.7488734642431	47.3054746388015	78.7482996078209	32.8171641785908	80.6677068185147	69.3024751689357	32.7067786673593	63.4146820558641	72.4440941527911	162.016785844418	63.5974968256659
MYCBP2	46.7759501373243	64.697250737593	95.2421038042713	63.0606309331934	77.0261916893575	70.4136255617376	84.2393348206346	58.0693066814131	98.0556297603027	40.4024912949733	98.4020928453064	144.057883501539	99.7311565037723	83.9327465943741
MYH10	4.7368050771974	5.4094691252168	4.45056559833044	24.5829578214144	14.1173405990141	4.88584340632465	6.97687742379489	20.3099545535977	11.0589056120642	7.9705595071716	19.4617472516273	7.47274323639106	10.0101904297467	13.3574679853279
MYH3	1.18420126929935	1.5146513550607	1.33516967949913	3.20647275931492	0	0	0.258402867547959	0	6.63534336723853	3.84785631380698	1.96804185690613	0.415152402021725	1.8537389684716	1.19619116286519
MYH9	571.377112436936	741.962785214737	976.899148833531	568.080090525293	489.648813407909	731.726900735445	744.458661405669	635.615760818226	459.067459629688	521.384530520846	853.911494579826	378.203838241792	433.218796931814	498.213619333351
MYL12A	6813.89410354845	5608.10483149476	8952.98028588142	3906.01823297212	3297.51355675918	5377.87657759688	5341.44567508386	2278.1475783782	5835.66161475726	8919.60578228413	4031.86175084835	6300.14527688069	3787.00333869064	3510.2229674279
MYL12B	3784.41120636339	3746.59831612516	3328.1329544315	2805.39645833728	2634.4938938897	3300.24351969565	2678.34572213459	2409.1610880338	3018.83547863548	4520.40662808453	2803.14761818663	3739.6928374117	3067.38187112996	3156.94784399505
MYL5	3.25655349057321	3.8948177701561	0.222528279916522	2.13764850620995	6.68716133637509	4.02363574638501	2.06722294038367	0.858167093813986	2.70328803850458	3.57300943424934	3.71741239637824	3.3212192161738	4.44897352433185	0.996825969054325
MYL6B	1.18420126929935	1.94740888507805	0.890113119666087	2.13764850620995	1.98138113670373	1.14961021325286	2.06722294038367	0.572111395875991	0.983013832183485	0.274846879557641	0.656013952302043	1.86818580909776	2.96598234955457	0.39873038762173
